"54.","Redondo Beach Brewing Co","http://www.yelp.com/biz/redondo-beach-brewing-co-redondo-beach","Redondo Beach; 1814 S Catalina Ave
Redondo Beach, CA 90277"
"55.","Coopers House of Brewmasters","http://www.yelp.com/biz/coopers-house-of-brewmasters-lakewood","4823 Paramount Blvd
Lakewood, CA 90712"
"56.","BJ’s Restaurant & Brewhouse","http://www.yelp.com/biz/bjs-restaurant-and-brewhouse-pasadena","Pasadena; 234 E. Colorado Blvd.
Pasadena, CA 91101"
"57.","Scholb Premium Ales","http://www.yelp.com/biz/scholb-premium-ales-torrance","Torrance; 2964 Columbia Street
Torrance, CA 90503"
"58.","Beachwood Brewing & BBQ","http://www.yelp.com/biz/beachwood-brewing-and-bbq-long-beach","210 E 3rd St
Long Beach, CA 90802"
"59.","BJ’s Restaurant & Brewhouse","http://www.yelp.com/biz/bjs-restaurant-and-brewhouse-westwood","Westwood, UCLA; 939 Broxton Ave
Westwood, CA 90024"
"60.","Gordon Biersch Brewing","http://www.yelp.com/biz/gordon-biersch-brewing-los-angeles","Westchester; 201 World Way
Los Angeles, CA 90045"
"61.","BJ’s Restaurant & Brewhouse","http://www.yelp.com/biz/bjs-restaurant-and-brewhouse-cerritos-2","11101 183rd St
Cerritos, CA 90703"
"62.","BJ’s Restaurant & Brewhouse","http://www.yelp.com/biz/bjs-restaurant-and-brewhouse-woodland-hills","Woodland Hills; 6424 Canoga Ave.
Woodland Hills, CA 91367"
"63.","BJ’s Restaurant & Brewhouse","http://www.yelp.com/biz/bjs-restaurant-and-brewhouse-arcadia","400 E. Huntington Ave.
Arcadia, CA 91006"
"64.","Santa Monica Brew Works","http://www.yelp.com/biz/santa-monica-brew-works-santa-monica","Santa Monica; 1920 Colorado Avenue
Santa Monica, CA 90404"
"65.","BJ’s Restaurant & Brewhouse","http://www.yelp.com/biz/bjs-restaurant-and-brewhouse-torrance","Torrance; 3525 W. Carson St
Torrance, CA 90503"
"66.","Rev Brewing Co","http://www.yelp.com/biz/rev-brewing-co-covina","1580 W San Bernardino Rd
Covina, CA 91722"
